time_control,end_time,rated,time_class,white_username,white_rating,white_result,black_username,black_rating,black_result,black_accuracy,white_accuracy
180,2024-01-05,True,blitz,Hikaru,3305,win,Rymuselmun07,2956,timeout,88.5,91.56
180,2024-01-05,True,blitz,Rymuselmun07,2970,win,Hikaru,3291,checkmated,76.46,80.19
180,2024-01-05,True,blitz,Hikaru,3293,win,Rymuselmun07,2968,resigned,81.44,86.75
180,2024-01-05,True,blitz,Rymuselmun07,2966,resigned,Hikaru,3295,win,94.4,89.85
180,2024-01-05,True,blitz,Hikaru,3297,win,Rymuselmun07,2964,resigned,83.82,94.59
180,2024-01-05,True,blitz,Rymuselmun07,2970,repetition,Hikaru,3291,repetition,85.32,84.91
180,2024-01-05,True,blitz,Hikaru,3293,win,Rymuselmun07,2968,resigned,91.02,96.08
180,2024-01-05,True,blitz,Rymuselmun07,2966,resigned,Hikaru,3295,win,90.41,82.06
180,2024-01-05,True,blitz,Hikaru,3297,win,Rymuselmun07,2964,resigned,81.79,91.19
180,2024-01-05,True,blitz,Rymuselmun07,2962,timeout,Hikaru,3299,win,92.5,89.68
180,2024-01-05,True,blitz,Hikaru,3301,win,Rymuselmun07,2960,resigned,83.12,90.9
180,2024-01-05,True,blitz,Rymuselmun07,2958,resigned,Hikaru,3303,win,95.86,87.21
180,2024-01-05,True,blitz,Hikaru,3305,win,Rymuselmun07,2956,resigned,79.98,86.28
180,2024-01-05,True,blitz,Hikaru,3307,win,klimkoj,2925,resigned,82.82,89.52
180,2024-01-05,True,blitz,klimkoj,2923,resigned,Hikaru,3309,win,94.24,89.77
180,2024-01-05,True,blitz,Hikaru,3303,insufficient,klimkoj,2929,insufficient,87.26,86.58
180,2024-01-05,True,blitz,klimkoj,2927,resigned,Hikaru,3305,win,90.14,84.2
180,2024-01-05,True,blitz,Hikaru,3307,win,klimkoj,2925,resigned,81.45,83.94
180,2024-01-05,True,blitz,klimkoj,2923,resigned,Hikaru,3309,win,88.53,82.02
180,2024-01-05,True,blitz,Hikaru,3303,repetition,klimkoj,2929,repetition,94.84,95.02
180,2024-01-05,True,blitz,klimkoj,2935,repetition,Hikaru,3297,repetition,92.66,92.01
180,2024-01-05,True,blitz,Hikaru,3283,resigned,klimkoj,2949,win,91.73,81.44
180,2024-01-05,True,blitz,klimkoj,2947,resigned,Hikaru,3285,win,85.65,77.19
180,2024-01-05,True,blitz,Hikaru,3287,win,klimkoj,2945,resigned,83.14,85.7
180,2024-01-05,True,blitz,klimkoj,2943,resigned,Hikaru,3289,win,88.58,79.03
180,2024-01-05,True,blitz,Hikaru,3291,win,klimkoj,2941,resigned,82.22,88.7
180,2024-01-05,True,blitz,klimkoj,2947,timevsinsufficient,Hikaru,3285,timevsinsufficient,89.06,88.77
180,2024-01-05,True,blitz,Hikaru,3271,resigned,klimkoj,2961,win,96.55,93.4
180,2024-01-05,True,blitz,klimkoj,2959,resigned,Hikaru,3273,win,89.68,82.53
180,2024-01-05,True,blitz,Hikaru,3259,resigned,klimkoj,2973,win,84.8,74.14
180,2024-01-05,True,blitz,ELECTRODYNAMIC_DRACULA,2786,resigned,Hikaru,3260,win,91.52,85.25
180,2024-01-05,True,blitz,Hikaru,3261,win,ELECTRODYNAMIC_DRACULA,2785,checkmated,78.22,90.36
180,2024-01-05,True,blitz,ELECTRODYNAMIC_DRACULA,2784,checkmated,Hikaru,3262,win,93.38,82.78
180,2024-01-05,True,blitz,Hikaru,3263,win,ELECTRODYNAMIC_DRACULA,2783,checkmated,70.79,79.39
180,2024-01-05,True,blitz,ELECTRODYNAMIC_DRACULA,2782,resigned,Hikaru,3264,win,84.57,81.8
180,2024-01-05,True,blitz,Hikaru,3257,insufficient,ELECTRODYNAMIC_DRACULA,2789,insufficient,89.03,88.64
180,2024-01-05,True,blitz,ELECTRODYNAMIC_DRACULA,2796,50move,Hikaru,3250,50move,90.24,89.63
